ID,Species,Extraction,Preparation,species_Extraction_Preparation,Class,ID (samples as rows),zymosterol,xylose,xylonic acid,valine,urea,tyrosine,tyramine,tryptophan,trehalose,"trans-3,5-dimethoxy-4-hydroxycinnamaldehyde",tocopherol beta NIST,tocopherol alpha,threonine,threonic acid,threitol,tagatose,sulfuric acid,sucrose,succinic acid,succinate semialdehyde,suberyl glycine,stigmasterol,stearic acid,squalene,spermidine,sorbitol,sophorose,shikimic acid,serine,ribose,ribonic acid,ribitol,raffinose,quinic acid,pyrophosphate,"pyrazine 2,5-dihydroxy  NIST",putrescine,"propane-1,3-diol NIST",phytol,phosphoric acid,phenylethylamine,phenylethanol NIST ,phenylalanine,pentitol,pelargonic acid,pantothenic acid,palmitic acid,oxoproline,oxalic acid,oleic acid,N-methylalanine,nicotianamine,N-acetylmannosamine,N-acetyl-D-hexosamine,myristic acid,mucic acid,methionine,methanolphosphate,melibiose,melezitose,mannonic acid NIST,mannitol,maltotriose,maltose,malonic acid,malic acid,maleimide,maleic acid,lyxose,lysine,linolenic acid,linoleic acid,levoglucosan,leucine,lauric acid,lanosterol,lactic acid,isothreonic acid,isoleucine,isocitric acid,isochlorogenic acid,myo-inositol ,idonic acid NIST,hydroxylamine,homoserine,2-deoxyhexose ,glycolic acid,glycine,glycerol-alpha-phosphate,glycerol-3-galactoside,glycerol,glycero-guloheptose NIST,glyceric acid,glutamine,glutamic acid,glucose-6-phosphate,glucose-1-phosphate,glucose,gluconic acid lactone,glucoheptulose,galacturonic acid,galactose-6-phosphate,galactonic acid,galactinol,GABA,fumaric acid,fucose + rhamnose,fructose-6-phosphate,fructose,ferulic acid,FAD,ethanolamine,erythronic acid lactone,erythritol,dehydroascorbic acid,cysteine-glycine,cysteine,cystathionine,conduritol beta expoxide,citrulline,citric acid,cis-caffeic acid,cholesterol,chlorogenic acid,cellobiotol,capric acid,caffeic acid,butyrolactam NIST,beta-sitosterol,beta-gentiobiose,beta-alanine,benzylalcohol,benzoic acid,aspartic acid,asparagine,ascorbic acid,arabitol,arabinose,alpha ketoglutaric acid,alanine,aconitic acid,6-deoxyglucitol NIST,4-hydroxycinnamic acid,3-hydroxypropionic acid,2-ketoglucose dimethylacetal NIST,1-monostearin,1-monopalmitin,"1,2-anhydro-myo-inositol NIST",215062,940565,940566,211896,352777,296119,236870,211891,924293,712789,924166,202834,940545,233017,204157,199338,446633,207750,214680,940567,374786,236013,214528,310489,940546,374912,202841,310240,940625,202579,940547,211895,199433,199203,231058,231576,200844  carbohydrate,199464,202088,202095,940549,703265,940568,202293,940548,328506,618185,202856,218829,466968,504547,225393,211991,228915,200457,241947,940576,326867 carbohydrate,446955,218447,438061,208656,338773,199204,212273,703116,204167,205680,208812,200490,213182,329576,352812,223121,231207,940551,237562,460930,223120,940550,200420,940563,275608,323686,211965,218730,288368,408731,299427,940552,940553,199220,208845 carbohydrate,203235,537786,506930,237603,202737,212022,919246,231210 disaccharide
11,pumpkin,ACN:IPA:H2O (3:3:2) , fresh frozen,pumpkin_ACN:IPA:H2O (3:3:2) _ fresh frozen,2,P05,129,4693,2563,23019,2560,4132,14541,2470,76462,124,711,17961,13851,83879,1529,559,34,214313,3521,153,601,427,32910,592,665,4503,1272,20198,125188,887,1898,870,453202,86,2462,737,2944,2200,34498,2635,155,76,4167,3587,4156,3431,7483,150978,11929,754,824,2505,15902,8172,1693,344,1625,24,1250,1612,716,9523,759,17596,3679,293373,453,318406,549,954,1864,150,1366,6314,48469,1617,2404,9636,14762,9379,1363,280363,736,427,1481,357,1262,10499,9362,9727,17428,3664,338225,23085,445502,2160,3462,9413,131,1353,233,466,1184,1150645,100338,35549,3239,1415,74980,763,673,68521,26421,171,4817,187,927,1178,134,312,122985,825,41149,2507,1929,5446,15547,1480,1673,185,312,406,1615,177412,5174,260,26,2319,2595,84186,4732,2443,890,1591,1235,262,573,1442,17525,496,258,26990,698,189,24,7427,190231,24416,185386,42117,64069,1595,100423,40910,8355,2361,9759,208,8599,34235,10262,35765,44774,52148,3902,331,43711,3525,39309,31210,370,32835,775,1087,4108,4168,31591,10504,32260,39262,1673,1276,25929,1330,419,2567,223,1672,27914,161,7955,1049,6754,270,474,4221,7784,27789,11845,22760,2994,1516,12628,26391,13368,18291,13592,5226,33149,3093,4276,2310,14273,11528,14268,9219,6242,11873,17153,15582,5762,20182,1720,4403,12423,242,1720,12333,7574,1653,1703,108,2116,1192,374,2011,87,6788,155
12,pumpkin,ACN:IPA:H2O (3:3:2) , fresh frozen,pumpkin_ACN:IPA:H2O (3:3:2) _ fresh frozen,2,P06,30,3624,2239,21346,1840,5397,9467,2648,64636,126,554,16249,11192,90633,1299,725,34,231355,5205,293,723,302,32925,510,522,2919,1346,3717,82977,508,1474,9660,423430,147,1088,544,3853,2385,37480,2411,93,57,4307,4148,3071,2981,9809,106780,5045,675,616,1765,15333,9391,1410,127,1582,28,685,1576,460,3486,762,27506,2053,122397,331,695917,599,1105,50298,255,705,6366,39275,1121,1559,9165,13707,7104,482,268547,514,375,1696,1476,862,10802,5680,51254,18847,3769,428665,14418,390430,1304,4353,16016,160,1372,224,301,923,996152,105460,93884,6675,1056,64649,1105,545,115364,1390,131,1338,71,652,1361,24,275,75531,1541,28078,1510,1540,2987,21520,2249,2034,143,255,186,1132,151471,3981,177,46,1744,2257,73865,6127,945,1540,1030,3294,276,907,459,16569,491,312,67417,801,312,106,6142,103472,13291,78342,42748,42434,602,75868,30147,38195,2196,8806,170,10661,36179,10741,32204,25807,48823,3666,319,29417,14954,48594,33781,600,32035,958,1090,5223,5069,20506,20387,30930,22730,1825,2843,17843,358,375,3326,216,1094,25562,317,7197,1033,6535,6986,1125,4155,11309,25701,12081,14488,2075,2250,12720,14561,14432,10844,12340,4704,24829,3126,3227,2166,13909,12332,11997,10646,5882,9436,15840,10041,3881,20180,1633,3979,11623,265,1633,8682,7250,1587,1530,61,2035,2441,766,2347,67,6671,235
13,pumpkin,MeOH:CHCl3:H2O (5:2:2) , fresh frozen,pumpkin_MeOH:CHCl3:H2O (5:2:2) _ fresh frozen,3,P07,28,2896,1336,15508,999,3206,5983,2734,46345,64,390,8696,7606,31893,648,540,24,284165,2138,231,407,229,24614,391,745,1270,1094,1960,117961,334,1110,661,257075,125,1340,2188,3737,1996,21621,2593,111,43,3066,2057,2581,2281,9331,95153,2407,528,881,810,6215,4646,1345,122,1045,851,923,826,252,3635,465,22663,1647,7661,305,671678,272,1241,55744,201,617,4594,38550,988,1394,4217,10896,5590,618,191218,337,131,1100,916,655,11457,3068,69724,13839,2200,149359,14818,258190,2167,2624,4620,100,869,136,491,645,779047,85835,111153,2250,1635,20730,898,301,92762,8355,65,1587,125,364,989,65,287,56932,1214,15912,1181,1030,2591,18563,1788,666,101,265,157,949,122999,4644,92,188,2050,3454,68482,5635,1251,1711,675,2118,151,705,759,10627,351,215,21989,513,175,144,6560,2613,11696,52926,29165,23024,871,42811,22661,7790,459,6955,127,3668,34238,8004,19087,18902,29467,3351,252,24808,31191,37411,19007,909,21821,360,753,3735,3834,18123,12705,19230,16945,1161,821,9683,525,145,1883,230,806,16600,316,4721,770,4850,800,404,3011,18760,16681,10753,10220,812,15475,13032,10477,8747,10460,8599,2979,14011,1994,2565,1212,8771,7822,9581,11289,3308,5055,9225,13731,4925,12788,1197,3413,7235,287,1197,7121,4779,10389,1263,22,1406,1430,415,1690,46,5428,166
14,pumpkin,MeOH:CHCl3:H2O (5:2:2) , fresh frozen,pumpkin_MeOH:CHCl3:H2O (5:2:2) _ fresh frozen,3,P08,70,1375,1248,13807,1099,2930,5382,2044,51492,104,447,9777,9228,46302,681,581,19,165210,2290,191,332,278,18476,371,700,2171,1029,14750,77576,282,939,626,277788,72,1747,2936,4024,1326,19731,2634,246,39,2969,2052,1760,2604,8547,105988,4298,598,584,1289,10168,6356,1224,148,1351,760,475,1043,175,1172,822,22355,1782,22989,333,766386,216,1045,53145,260,577,3945,27101,833,1243,5578,9605,7209,329,181646,492,162,948,85,319,8935,4535,54183,10710,1812,130527,10524,289233,3276,3801,4999,129,871,147,682,1024,784669,71024,119353,2117,2185,26262,1119,258,78063,7636,72,4865,128,448,705,58,241,67803,1988,19281,1554,127,1460,30560,1338,1174,129,189,88,704,148649,3426,182,186,1121,2879,50319,7893,623,1594,590,1766,100,360,372,11042,168,150,60661,618,127,144,5641,114414,7453,98007,32034,28836,932,47566,24006,11440,4393,5669,137,3128,21655,7129,19310,20730,28638,3132,225,25304,35578,23588,20002,2081,23545,1222,801,2961,2483,19835,10224,16988,20519,1441,842,14988,498,219,1886,165,702,17236,109,5152,837,3988,235,985,2696,20663,17353,7780,11414,1071,14698,14634,14479,10246,6631,8022,3784,15133,1981,2349,1394,9768,7512,10712,11036,3557,5668,10624,13203,3685,14556,1301,2626,8085,332,1301,6903,4287,9732,1226,167,1314,804,174,1369,72,4332,149
15,pumpkin,MeOH:CHCl3:H2O (5:2:2) , fresh frozen,pumpkin_MeOH:CHCl3:H2O (5:2:2) _ fresh frozen,3,P09,43,2231,1103,12863,1188,2286,4096,1637,42108,72,431,7113,8604,30151,595,345,17,359359,2497,176,167,351,24401,221,535,1124,967,12074,52525,65,719,2691,317431,154,1972,1683,2416,2668,15766,4411,235,33,2119,1545,4082,1946,9367,82462,8123,470,467,897,7499,4946,1316,269,966,640,900,1036,74,3013,832,22397,1264,63750,517,720017,228,913,31448,272,847,3889,20503,676,1909,5380,8930,5895,362,149820,379,230,889,625,536,6337,4075,43038,11004,2097,151168,6987,222313,2900,6280,4428,157,734,54,591,621,779976,140494,74558,1506,1885,20669,957,318,61558,6834,80,4101,151,3196,458,65,205,49232,1910,18586,1470,646,1936,24083,3016,1017,76,99,202,1424,129293,2561,158,62,742,2582,70175,7177,819,1360,901,1913,111,444,551,9190,288,246,45086,561,246,387,4786,97636,4684,60676,24230,27441,867,60367,16951,1705,511,4513,50,3857,14861,5521,18171,10097,24297,1608,265,26604,16412,13146,16478,2352,18452,514,605,2089,1650,21590,12238,8811,17905,1205,646,14476,553,79,1656,251,358,15352,108,4298,695,3760,300,435,2394,17576,15418,14711,10634,682,12853,13447,12132,7790,7319,6929,3013,19689,1818,1800,1003,7780,5520,7536,11767,2588,5741,8821,9827,8617,12010,1081,4613,7593,57,1081,6005,3072,8495,1009,88,1090,1173,230,1031,46,8764,138
16,pumpkin,MeOH:CHCl3:H2O (5:2:2) , fresh frozen,pumpkin_MeOH:CHCl3:H2O (5:2:2) _ fresh frozen,3,P10,139,2372,1294,16206,1956,2925,7178,1675,39299,124,428,8881,6986,21766,740,464,59,366957,2002,199,238,362,23746,315,696,1114,674,12284,87553,257,827,3006,356218,34,2582,1656,2397,3006,16110,2808,129,92,1974,1276,6092,2129,7993,106132,7401,510,900,1267,7470,5192,1381,103,1459,830,418,997,421,3613,613,42582,3578,115059,335,491569,272,1052,44961,207,1767,5282,43924,904,6596,5244,10391,5225,247,143870,510,239,1495,648,929,7370,4186,52548,18518,2550,136667,16335,280798,1996,2115,5253,129,1038,186,547,697,768269,79755,59882,2957,1705,22167,586,492,63283,6865,96,3426,102,815,886,21,387,71775,613,31231,1718,1448,4538,15493,1832,1437,121,145,331,2146,129232,4485,189,53,1652,3477,65782,4674,640,1027,3889,1718,270,705,443,10769,257,170,55863,725,118,171,5962,115428,3486,78002,28460,45486,1055,54439,25381,1220,1300,5246,96,3749,31647,7221,21698,31550,29706,1449,230,27083,11131,32240,18582,982,20121,615,646,2830,3400,21204,21000,15833,18201,1433,1687,20455,778,171,2025,171,1046,16415,236,5214,715,5070,9470,4471,3013,17192,16242,16552,15314,880,18777,11553,12278,9438,33999,8517,2996,16949,2259,1641,1362,9358,8726,9238,10346,3183,5237,9057,17406,7472,12190,1158,5888,7881,275,1158,12485,7786,13072,1121,160,1635,758,514,1393,25,8754,149
17,pumpkin,MeOH:CHCl3:H2O (5:2:2) , fresh frozen,pumpkin_MeOH:CHCl3:H2O (5:2:2) _ fresh frozen,3,P11,42,2792,1221,15792,1034,3362,5006,2353,39005,119,377,5093,7001,32607,668,619,37,319130,3468,200,414,146,21582,343,551,1143,960,17327,70823,791,776,606,241216,100,1804,1991,2797,2038,21744,2247,193,28,2880,1833,2725,2350,8467,90710,2905,538,696,1152,7777,4995,1339,116,1290,1340,455,627,282,3773,312,22332,1187,2786,326,692654,508,1364,43266,268,512,5002,32092,513,1556,4897,10323,6675,310,182938,265,209,2112,834,710,6741,3172,69702,13996,2530,90023,7216,267093,2494,3279,3730,135,953,85,475,829,745949,77375,180642,7507,1795,16155,1120,369,86394,5641,69,452,152,537,1260,46,205,98301,1793,10429,1031,654,2336,26778,1981,631,135,95,189,990,120267,3438,82,178,1867,4151,106849,10084,825,2046,759,1178,275,758,285,11265,361,282,82318,550,209,112,6317,70424,3991,39560,33327,15129,870,39325,18253,24811,1386,5075,87,3108,34766,7081,16790,29617,26536,3171,248,22824,58319,42983,18546,1142,19235,1585,596,2518,4424,17054,10397,34750,14146,1299,692,7700,649,140,3035,162,705,14136,399,5434,777,4399,715,806,2908,21848,13986,11251,8222,645,29117,11389,8765,9898,4446,9086,3005,12463,1921,1661,1337,9782,15644,9377,10383,2929,6106,9582,18813,14480,17120,1237,3098,6594,249,1237,13748,2821,20715,948,22,1427,1294,458,1267,44,7581,101
18,pumpkin,MeOH:CHCl3:H2O (5:2:2) , fresh frozen,pumpkin_MeOH:CHCl3:H2O (5:2:2) _ fresh frozen,3,P12,112,997,1679,13793,822,2884,5853,1729,40891,94,398,7845,8951,43503,710,611,23,281671,2333,131,349,377,17340,269,480,1626,596,12734,77349,286,1017,466,295977,188,1505,2117,2523,1819,19378,3378,134,29,2280,1772,3060,2139,7618,86900,5824,531,592,979,10325,6388,1203,208,1438,564,358,838,410,4629,762,45851,1990,69297,326,680667,230,864,36219,227,737,3919,29798,1241,1918,4952,9303,6112,294,161498,453,181,1032,547,881,7601,4220,51049,15728,2460,203248,13349,279039,2846,4547,8179,122,916,121,625,971,663493,83251,88466,1931,1917,47002,876,342,70121,10408,81,724,155,354,691,28,208,73970,1593,53048,1570,443,2379,25634,1785,225,82,136,188,1045,122451,2991,98,138,788,2748,53166,7071,689,1634,1126,2550,311,778,682,9923,310,219,55346,661,373,179,5324,105096,5988,80804,25758,88015,1145,56042,28365,32796,1419,5137,139,3876,23130,6505,19839,20443,31026,3041,220,22331,18572,24380,21367,470,23455,679,617,2810,2662,17124,38852,11314,16844,1178,1700,1077,487,178,1779,156,611,14378,200,4353,699,4390,253,895,2696,18270,14199,10266,12214,809,12682,19870,11019,7901,7535,7561,3211,17449,2133,2110,1270,7868,6376,7472,11512,3175,7801,9241,11966,2870,12581,1177,3231,6993,235,1177,4998,12153,8987,847,36,1400,735,549,1260,94,5449,153
19,pumpkin,MeOH:CHCl3:H2O (5:2:2) , lyophilized,pumpkin_MeOH:CHCl3:H2O (5:2:2) _ lyophilized,4,P19,60,3892,1397,14805,1786,3352,10853,1748,45024,105,392,9778,10683,31263,733,632,35,294888,2478,355,405,349,25017,268,575,1712,1041,17002,62957,311,1520,3999,327277,144,1841,1000,2611,2000,16946,3048,101,33,2769,1890,1794,2068,8844,101532,6573,974,679,1344,13702,7527,2298,209,1615,13,470,880,366,4092,474,22650,1860,113197,346,906373,460,745,20735,175,819,4132,59980,1319,1941,6754,10835,6425,327,184671,365,165,1483,829,674,6925,5214,23219,24574,2574,332993,10160,319227,1966,3332,11087,108,1006,149,405,721,784029,89348,84435,2257,1154,55198,727,423,69318,503,145,4931,159,373,701,71,250,68583,932,34501,1077,977,3348,13604,1534,1139,85,140,137,1094,138080,2603,589,164,1205,2314,60683,4647,786,1419,1042,4402,140,1092,1180,11538,407,230,61637,515,105,221,5747,71965,6725,58644,29671,54784,1073,75984,15789,24444,982,6710,66,7275,21496,6914,23872,28014,31037,3420,278,25118,19551,22099,22377,3203,20538,578,789,2894,2474,18424,14456,14103,19709,1403,843,21941,394,259,2284,248,685,17377,99,5325,640,4535,7703,660,3030,10250,17337,11476,11234,778,5444,16385,12782,9397,6955,9221,3464,24386,2583,2686,1418,9384,8017,9010,9096,3985,13656,10725,7623,6240,16839,1240,3516,8541,98,1240,6997,5481,3545,928,161,1523,1700,638,1358,5374,7257,172
20,pumpkin,MeOH:CHCl3:H2O (5:2:2) , lyophilized,pumpkin_MeOH:CHCl3:H2O (5:2:2) _ lyophilized,4,P20,98,3928,1956,17782,1497,4017,9169,2749,51618,114,492,8167,12092,36508,895,468,19,201017,3185,277,587,393,24214,325,790,2295,1373,19189,74052,294,1656,6604,299900,136,2098,1001,3514,1998,19269,3231,309,43,3357,2317,2549,2635,9363,99027,5595,1462,671,1554,13808,8716,2240,153,1994,371,415,773,409,5256,400,27376,1853,112510,344,842544,486,1069,23934,564,665,6189,57910,1113,1721,7415,12429,8003,212,209900,452,185,1785,996,721,7592,5848,24696,21122,2539,299869,10500,330388,2879,3020,7122,121,1007,147,557,881,771865,129618,93003,2456,1464,36932,883,421,72330,12151,100,13579,79,524,859,99,279,71366,1069,46719,1263,505,3789,15793,2628,1612,109,214,269,1094,162154,2896,563,63,1275,3435,99186,5439,860,2103,1209,6008,1916,4593,680,12019,238,208,71399,2127,151,38,5334,82829,6412,57226,30902,77455,1152,97204,28474,12343,1505,7012,103,4146,24286,6867,21600,29165,35282,2774,258,33558,21232,26817,25397,3375,23998,709,815,952,2767,25628,19722,15926,23794,1309,847,28173,294,204,2060,187,510,17092,17688,5747,748,4819,405,536,3007,10880,16932,11316,12994,1604,4471,18272,16101,10330,5333,10155,4184,31862,2214,3068,1486,10753,9686,8864,11230,4349,11772,12035,9527,12779,19068,1404,3295,8147,8483,1404,6800,8282,3133,1327,447,1626,1605,2146,2825,4917,8572,208
21,pumpkin,MeOH:CHCl3:H2O (5:2:2) , lyophilized,pumpkin_MeOH:CHCl3:H2O (5:2:2) _ lyophilized,4,P21,100,2559,1808,18316,2670,4115,12735,3307,49421,109,520,9110,13213,34445,1209,1302,45,202321,3371,159,890,370,29397,417,705,3723,1040,20241,93155,534,1823,4829,316231,368,2702,1043,3168,2108,18226,3499,400,39,4109,3142,2622,2772,10563,111348,9117,1309,700,2176,8339,2509,2696,248,1803,27,705,813,336,8085,304,17719,1987,150746,448,656559,402,1061,22595,145,578,5678,85077,1170,3004,7357,12186,7989,441,236536,569,222,2678,1428,849,8418,6945,22702,28618,2597,283091,10044,353734,3353,3767,3820,107,912,268,649,1058,807234,93541,74885,2668,1561,24711,695,677,82685,1563,1025,8700,130,617,1588,78,227,89874,875,39518,1229,830,5297,12008,1690,858,235,282,238,1461,188644,3001,608,259,1763,5053,130869,5159,1220,1768,1374,6698,1677,3783,442,12811,225,181,59350,2049,212,163,8698,87435,7148,78950,32420,65092,1270,107676,28406,24940,651,7521,147,4839,47138,6635,24188,43432,38275,4384,217,37756,14975,60393,26089,3965,24202,672,969,2682,5270,26166,17023,33855,31638,1415,1079,22073,394,132,1526,218,1167,17869,17302,5737,855,4791,844,546,3189,10391,17824,11157,13267,1170,3800,17777,20901,10525,3615,10287,4120,35647,2300,2203,1761,10414,15145,10706,10096,4395,10512,14898,16894,14376,20091,1407,3843,8693,9010,1407,9546,7798,2384,1253,159,1666,1912,1932,2592,5107,8667,190
22,pumpkin,MeOH:CHCl3:H2O (5:2:2) , lyophilized,pumpkin_MeOH:CHCl3:H2O (5:2:2) _ lyophilized,4,P22,82,2379,1673,10204,2563,1777,11467,1268,32821,68,853,23535,10039,29655,1032,737,45,354601,1987,158,197,357,21146,456,705,2646,1432,20366,47319,232,1428,3061,347834,190,1564,629,2644,2571,22280,2571,72,75,1644,2233,2553,2210,7152,65663,4529,806,396,1108,9789,6050,2027,138,810,19,578,697,309,5915,526,16149,1883,59415,553,851464,431,648,12998,176,1138,2812,60724,1934,2523,5284,7719,8725,264,175483,618,398,1413,1019,848,5947,4715,8142,20845,2752,260148,12844,121281,1364,2631,14948,208,1029,188,458,885,866578,464187,54693,2635,823,89394,805,610,64502,7734,123,785,132,472,818,98,241,72492,919,42675,1397,1652,3533,14318,6788,676,235,93,252,1874,71056,1934,131,225,740,1231,46555,6989,1125,4667,1124,1582,492,1554,932,15102,393,227,89564,551,89,111,4621,94964,2674,67699,45302,65612,1873,39592,30889,11735,3460,8179,173,7080,30122,8278,32819,40971,44947,884,156,41702,17081,33197,18694,924,13615,1127,432,4788,3532,30049,26916,13579,28457,1118,987,24455,175,83,1613,187,1144,18599,271,4999,347,7245,2799,1556,2862,21068,18542,14428,18010,953,4593,14393,19148,8982,15022,8902,2599,12103,2640,2341,1614,9021,10042,11808,10492,5645,8719,12243,9894,6038,20278,927,4610,8233,224,927,9873,9320,2897,868,33,1289,1063,937,1584,4244,7268,214
23,pumpkin,MeOH:CHCl3:H2O (5:2:2) , lyophilized,pumpkin_MeOH:CHCl3:H2O (5:2:2) _ lyophilized,4,P23,159,2745,1944,15417,2063,2716,12496,1642,41393,143,581,11601,14404,42125,828,968,19,371993,1992,224,512,453,32312,623,715,2349,1230,19577,109056,332,1598,684,290873,166,1378,867,3333,2565,20905,3200,108,27,2075,2697,2587,2067,10415,89553,4724,1365,642,1054,9283,5959,2287,62,1410,28,429,664,329,6636,649,17305,1265,20161,320,897285,289,830,16718,441,749,4318,50888,1347,2424,5772,10846,8015,287,190679,513,135,1867,765,885,7385,5122,14210,21727,3215,252460,15476,276704,1964,3630,11874,241,1216,149,445,819,823513,117998,123558,3100,914,75210,1293,289,63521,10601,117,5158,78,551,1244,50,385,70539,1408,55881,1143,1089,3290,20332,3171,1600,143,114,295,1582,98916,2791,173,218,1226,1651,60916,9854,1442,5216,837,2847,2232,5428,989,14631,497,348,82798,2535,267,142,9566,73446,4438,49012,43260,93778,2105,52385,32301,29660,1367,7203,195,5182,37958,8969,34116,36377,49293,5021,240,35320,35662,41188,23720,1619,21460,688,919,1941,4357,24549,28345,20457,24761,1695,950,30246,724,173,2069,208,841,17342,21780,6379,816,7274,1645,694,3603,20136,17135,13792,14645,1480,5923,20366,14676,10701,5940,10684,3717,16678,2647,2110,1788,10874,9254,13194,13320,5073,11810,15635,8300,18647,19402,1301,3633,9452,10404,1301,8181,12129,3798,1154,142,1937,985,2807,3317,5375,10292,164
24,pumpkin,MeOH:CHCl3:H2O (5:2:2) , lyophilized,pumpkin_MeOH:CHCl3:H2O (5:2:2) _ lyophilized,4,P24,86,4938,1077,11452,1900,2255,9079,2887,18234,51,683,16517,5297,9824,1181,828,21,236409,1596,83,230,259,19702,366,478,2660,374,15375,67738,308,774,544,378282,147,2086,624,3132,1976,16068,3152,55,63,2436,2203,2358,1768,6422,73611,3305,469,403,1230,14047,8835,1100,115,925,24,706,749,301,15648,567,10916,1585,28719,371,1001665,743,894,13648,128,860,3273,26288,1677,1292,3628,6630,6014,227,155350,560,241,894,1015,546,5565,4612,13966,10361,2528,404842,12847,161720,2233,2289,125168,746,890,209,511,325,590044,89908,98401,2777,1502,503523,800,518,50287,6818,112,13224,81,352,959,36,336,46928,735,37558,1464,933,13920,11633,1809,1578,209,57,166,1051,57263,2197,304,127,2510,2069,47317,5265,827,3985,1033,2037,155,1016,8479,15458,686,317,58973,492,89,117,4467,105663,2293,75724,48078,59372,1691,48310,12826,14044,1309,7222,100,46550,26108,7743,27999,40477,38911,607,132,24835,27279,41328,16715,1358,8494,710,783,6115,4135,17114,20241,14684,18484,846,1714,23159,184,71,1495,167,1716,18450,114,4068,319,7372,3682,626,2467,3200,18399,11396,14893,577,9713,11378,11694,6478,8664,7386,1798,15349,2256,3795,1536,6475,11929,9787,3525,5863,8122,10105,10219,10302,15230,602,3687,5826,156,602,6479,9441,6374,845,23,914,578,707,1281,4032,6688,419
25,tomatillo,100% MeOH , fresh frozen,tomatillo_100% MeOH _ fresh frozen,5,T13,1038,5104,203,25259,2186,9586,3350,106727,1085,1197,452,39772,9026,3558,1885,3265,19,251850,7911,249,81,2919,19247,2397,50,3633,4396,543,14681,316,369,16134,2702,17324,550,409,2995,2317,29502,6427,829,786,4620,994,4213,2538,5592,76599,3507,585,472,197,37581,9785,1098,50,389,1161,517,255,208,186656,39,2884,3004,1348,5335,314611,677,1503,1223,606,6030,10041,1662,580,2554,795,13696,3474,3524,552143,235,119,49,447,420,2298,1207,6542,8210,22154,7235,2560,93387,176,15125,109511,626,31826,259,27,906,613665,8096,225701,3996,74,895532,142,200,29130,8343,1395,101058,73,11872,1046,349,131,413363,343,1314,36733,7123,1288,639,529,2604,848,46,977,1291,15293,745,1349,1369,1988,3634,18267,7419,3943,669,738,443,841,4560,18682,644414,178746,116526,120411,90167,61322,33103,129594,21346,47762,308,73301,93,48045,3875,46116,41766,29147,28551,26433,62401,353,28549,33539,305,16861,49773,26353,424,56638,845,2066,4104,32904,18569,19693,31874,22363,350,426,274,1912,28846,24993,101,16917,10367,26044,16549,18243,9861,24167,23102,16892,29020,29067,53847,11293,882,9940,12974,1618,11825,720,3964,2119,11526,13621,12767,18031,1152,20135,7464,18639,11557,772,6696,243,5025,295,3960,108,19708,5450,7584,11724,7809,9485,7498,89,4027,177,9337,1408,5265,45358,6363,9593,14,6932,3291
26,tomatillo,100% MeOH , fresh frozen,tomatillo_100% MeOH _ fresh frozen,5,T14,184,5517,248,20169,1486,7665,3236,93127,977,1354,530,57874,7796,3220,2009,2865,5,189251,9052,160,17,964,15743,2040,43,3916,3964,402,8444,465,254,13919,2612,17990,458,447,2426,1888,22048,8630,700,914,4083,1107,2302,2502,6157,61599,6822,217,446,37,30725,8869,1538,61,359,903,690,359,231,153621,96,2391,3817,49258,4009,536553,681,1207,2221,114,3327,8821,1316,543,1415,771,12987,4995,3248,497531,268,222,95,530,382,1922,1931,7187,7123,22566,7839,2135,87571,188,17832,105149,675,27723,329,25,986,544284,7885,105359,3853,154,861277,183,261,23163,9458,1467,135932,181,12656,1079,474,372,557218,330,1087,36997,6405,700,2159,454,2065,754,39,828,1337,16374,601,2485,1381,2257,4141,12860,6160,3836,840,580,438,212,512,18404,575083,178244,119961,123458,87549,58154,57913,119280,21256,64344,386,67105,121,45256,1994,44273,32602,31193,28790,21637,90690,240,23977,31196,165,15928,42554,25803,511,37896,1573,1788,9192,27120,24416,17942,28834,16440,495,326,134,1737,25233,23608,24,15536,13937,23053,15781,23587,8422,266,21889,15715,22118,28173,23712,11033,1658,6168,10411,1536,9505,492,3293,1592,10569,12712,11096,14942,668,14524,6925,17526,10569,820,7255,126,7750,230,3514,42,2809,4948,6724,9012,7984,253,6835,107,3773,90,8796,2979,5737,42070,4058,8841,92,5264,2972
